Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Cytotechnologists,Health Science,Diagnostic Services,"cytology_15,cytotechnologist_7,critical thinking_7,cytopathology_7,service excellence_6,pc skills_6,visual acuity_6,gyn_6,bachelor's degree_6,bending_6"
Diagnostic Medical Sonographers,Health Science,Diagnostic Services,"patient care_36,ultrasound_29,communication skills_27,sonography_26,teamwork_21,medical imaging_18,bls certification_17,communication_17,polysomnography_15,interpersonal skills_13"
Epidemiologists,Health Science,Diagnostic Services,"quality control_30,epidemiology_29,data analysis_27,communication_21,proficiency testing_21,troubleshooting_20,teamwork_19,public health_18,clinical laboratory scientist_17,project management_16"
Histology Technicians,Health Science,Diagnostic Services,"histology_4,quality control_4,cytology_3,embedding_3,microtomy_3,quality assurance_3,communication_3,teamwork_3,problem solving_3,associate's degree_3"
Histotechnologists,Health Science,Diagnostic Services,"histology_79,quality control_52,immunohistochemistry_36,tissue processing_36,embedding_35,troubleshooting_35,quality assurance_32,microtomy_30,staining_28,equipment maintenance_28"
Magnetic Resonance Imaging Technologists,Health Science,Diagnostic Services,"mri_372,patient care_320,radiology_248,mri technologist_226,communication_167,medical imaging_165,teamwork_131,magnetic resonance imaging_115,customer service_108,pacs_107"
Medical and Clinical Laboratory Technicians,Health Science,Diagnostic Services,"critical thinking_58,patient care_37,multitasking_37,cpr certification_34,service excellence_27,pc skills_27,general computer skills_26,epic_25,computer skills_22,communication_21"
Medical and Clinical Laboratory Technologists,Health Science,Diagnostic Services,"quality control_108,chemistry_105,medical technology_101,biology_83,communication skills_79,teamwork_77,attention to detail_76,troubleshooting_71,microbiology_66,histology_65"
Medical Dosimetrists,Health Science,Diagnostic Services,"medical physics_52,radiation oncology_39,quality assurance_29,radiation safety_28,treatment planning_26,dosimetry_24,radiation therapy_21,calibration_18,brachytherapy_15,quality control_10"
Neurodiagnostic Technologists,Health Science,Diagnostic Services,"medical technology_340,quality control_294,microbiology_293,hematology_277,chemistry_266,medical technologist_222,proficiency testing_153,blood bank_151,troubleshooting_140,serology_139"
Nuclear Medicine Technologists,Health Science,Diagnostic Services,"nuclear medicine_13,patient care_12,nuclear medicine technology_10,radiation safety_8,cpr_7,radiologic technology_7,pacs_6,radiopharmaceuticals_5,customer service_5,quality assurance_5"
Ophthalmic Medical Technologists,Health Science,Diagnostic Services,"medical technology_337,microbiology_290,quality control_284,hematology_265,chemistry_255,medical technologist_222,blood bank_151,proficiency testing_149,serology_139,urinalysis_120"
Radiologic Technologists and Technicians,Health Science,Diagnostic Services,"radiology_159,critical thinking_146,patient care_136,pc skills_123,service excellence_113,technologist_92,communication_85,interpersonal skills_72,teamwork_69,interpersonal communication_65"
Veterinary Technologists and Technicians,Health Science,Diagnostic Services,"veterinary technician_1,veterinary medicine_1,animal care_1,surgical procedures_1,routine checkups_1,pet health education_1,laboratory procedures_1,first aid_1,radiology_1,medication administration_1"
Medical Records Specialists,Health Science,Health Informatics,"medical terminology_22,medical billing_16,medical coding_11,icd10_10,coding_8,attention to detail_8,medical records_8,data entry_8,communication skills_7,customer service_7"
Medical Secretaries and Administrative Assistants,Health Science,Health Informatics,"customer service_205,communication_102,scheduling_78,communication skills_74,appointment scheduling_59,attention to detail_59,time management_54,insurance verification_54,teamwork_51,organizational skills_50"
Medical Transcriptionists,Health Science,Health Informatics,"medical terminology_2,computer skills_2,documentation_2,teamwork_2,training_2,time management_2,microsoft office_2,medical scribe_1,electronic medical records (emr)_1,eye anatomy_1"
"Healthcare Support Workers, All Other",Health Science,Support Services,"phlebotomy_35,venipuncture_21,blood collection_19,specimen processing_16,capillary technique_15,order entry_15,high school diploma_13,patient care_10,breath/saliva alcohol testing_9,lcm/cyber tools_9"
Medical and Health Services Managers,Health Science,Support Services,"nursing_271,leadership_260,communication_250,patient care_235,supervision_158,communication skills_140,quality assurance_123,clinical supervision_114,teamwork_108,problem solving_104"
Medical Equipment Preparers,Health Science,Support Services,"troubleshooting_15,communication_12,patient care_12,surgical technician_11,attention to detail_10,infection control_9,surgical procedures_8,teamwork_7,lifting_7,aseptic technique_7"
Orderlies,Health Science,Support Services,"patient care_14,teamwork_11,attention to detail_7,communication_6,cpr certification_6,patient positioning_5,high school diploma_5,communication skills_5,bls certification_5,room turnover_4"
Pharmacy Aides,Health Science,Support Services,"customer service_4,pharmacy standards of practice_3,data entry_3,organizational skills_3,attention to detail_3,high school diploma_3,pharmacy assistant diploma_3,prescription preparation_2,fax management_2,multitasking_2"
Phlebotomists,Health Science,Support Services,"phlebotomy_36,venipuncture_22,blood collection_19,specimen processing_16,capillary technique_15,order entry_15,high school diploma_12,breath/saliva alcohol testing_9,lcm/cyber tools_9,testcup_9"
Speech-Language Pathology Assistants,Health Science,Support Services,"business communications_1,intranet development_1,content management_1,presentation creation_1,employee experience_1,rewards program management_1,newsletter creation_1,dashboard maintenance_1,video creation_1,office operations assistance_1"
Veterinary Assistants and Laboratory Animal Caretakers,Health Science,Support Services,"dog care_2,flexibility_2,animal behavior_2,customer service_1,cleaning_1,scooping dog waste_1,monitoring play groups_1,availability_1,compassion for dogs_1,physical strength_1"
Acupuncturists,Health Science,Therapeutic Services,"acupuncture_10,medical terminology_7,patient care_7,customer service_7,acute pain management_7,aseptic technique_6,physical examinations_6,behavioral health_6,anatomy_6,physiology_6"
Acute Care Nurses,Health Science,Therapeutic Services,"nursing_653,patient care_312,communication_240,registered nurse_189,teamwork_187,leadership_133,nmc pin_115,rmn_111,time management_111,rnld_110"
Advanced Practice Psychiatric Nurses,Health Science,Therapeutic Services,"mental health nursing_34,psychiatric nursing_27,nursing_26,evidencebased practice_22,patient care_22,teamwork_21,documentation_20,selfmotivation_20,communication_19,positive attitude_18"
Allergists and Immunologists,Health Science,Therapeutic Services,"patient care_94,internal medicine_71,primary care_69,physician_68,board certification_56,physical examinations_45,medical license_42,family medicine_41,medicine_38,computer skills_37"
Anesthesiologist Assistants,Health Science,Therapeutic Services,"anesthesia_5,patient safety_5,communication_4,troubleshooting_4,ectopic procedures_4,high pressure gases_4,electrical hazard_4,cleaning agents_4,teamwork_3,critical thinking_3"
Anesthesiologists,Health Science,Therapeutic Services,"anesthesiology_32,patient care_17,pediatric anesthesiology_16,research_14,anesthesia_14,healthcare_11,teaching_9,perioperative medicine_9,medical_9,critical care_8"
Art Therapists,Health Science,Therapeutic Services,"counseling_16,social work_14,psychology_13,psychotherapy_9,group therapy_7,telehealth_7,individual therapy_6,lmsw_6,supervision_6,clinical supervision_5"
